x,y
3002.4410089503663,2140.583990980834
3007.3230268510983,1488.261555806088
2934.092758340114,1507.5896279594137
2592.351505288853,1623.5580608793687
2411.7168429617573,1729.8624577226606
2314.0764849471116,1952.1352874859076
2318.9585028478436,2135.7519729425026
