Kh,RivKh,Rech,RMSE,NSE
2.0,0.01,16.0,74.24107218718174,-8.218396241557421
2.0,0.01,16.666666666666668,80.40527795199706,-9.812746376942483
2.0,0.01,17.333333333333332,86.74907997531241,-11.58625876325933
2.0,0.01,18.0,92.8951654710831,-13.43288417815359
2.0,0.1,16.0,43.997765049443444,-2.2376368438436747
2.0,0.1,16.666666666666668,48.62347443489428,-2.9542022438566424
2.0,0.1,17.333333333333332,53.27128683660683,-3.7462791437830525
2.0,0.1,18.0,57.91196364809505,-4.609233036033517
2.0,0.2,16.666666666666668,42.619997473757486,-2.0380417683104675
2.0,0.2,17.333333333333332,46.80222624533271,-2.6635314533426873
2.0,0.5,16.666666666666668,36.456136807407134,-1.2228399412644206
2.0,0.5,17.333333333333332,40.11839573283148,-1.6918695953409215
2.0,1.0,16.0,29.91349072644514,-0.4965839808515493
2.0,1.0,16.666666666666668,33.24218561995065,-0.8481875551835447
2.0,1.0,17.333333333333332,36.73785571862146,-1.2573271733574596
2.0,1.0,18.0,40.26279568051495,-1.7112824040945238
2.066666666666667,0.01,16.0,69.62532277550622,-7.107768581668118
2.066666666666667,0.01,16.666666666666668,75.72479546353843,-8.590541282018094
2.066666666666667,0.01,17.333333333333332,81.86114517483409,-10.207855750233502
2.066666666666667,0.01,18.0,87.84542138473248,-11.906401225740815
2.066666666666667,0.1,16.0,40.811772368007325,-1.7857222468427412
2.066666666666667,0.1,16.666666666666668,45.26532537939843,-2.426874455735065
2.066666666666667,0.1,17.333333333333332,49.677520170062095,-3.127496540041479
2.066666666666667,0.1,18.0,54.228045410757254,-3.918297594008634
2.066666666666667,0.2,16.0,35.593771090586564,-1.1189216937748578
2.066666666666667,0.2,17.333333333333332,43.49662409505865,-2.164302569266661
2.066666666666667,0.2,18.0,47.53597428600386,-2.7793028956045225
2.066666666666667,0.5,16.0,30.209245109575452,-0.5263236974341743
2.066666666666667,0.5,16.666666666666668,33.62817130457007,-0.8913565305245748
2.066666666666667,0.5,17.333333333333332,37.10478189633871,-1.302643301797592
2.066666666666667,0.5,18.0,40.7255466700907,-1.7739635268948333
2.066666666666667,1.0,16.0,27.645251505081156,-0.27822701441476183
2.066666666666667,1.0,16.666666666666668,30.627192459002583,-0.5688494738407937
2.066666666666667,1.0,17.333333333333332,33.89869666058298,-0.9219093634462519
2.066666666666667,1.0,18.0,37.25762265104391,-1.3216523117968486
2.1333333333333333,0.01,16.0,65.38582296976885,-6.150461781958709
2.1333333333333333,0.01,16.666666666666668,71.29447475348177,-7.501168978003902
2.1333333333333333,0.01,17.333333333333332,77.12638498508451,-8.948849311221503
2.1333333333333333,0.01,18.0,83.08165011995676,-10.54455317512393
2.1333333333333333,0.1,16.0,37.80069342190871,-1.3898268408961947
2.1333333333333333,0.1,16.666666666666668,42.12632098263719,-1.968068817556596
2.1333333333333333,0.1,17.333333333333332,46.43384852806874,-2.6060875113452715
2.1333333333333333,0.1,18.0,50.7260758423883,-3.3035755804450524
2.1333333333333333,0.2,18.0,44.35371265369572,-2.290234548603389
2.1333333333333333,0.5,16.0,27.848716691690466,-0.29711139712186485
2.1333333333333333,0.5,16.666666666666668,31.09371894093032,-0.6170082600756188
2.1333333333333333,0.5,18.0,37.70992374017075,-1.3783633805318334
2.4,0.01,16.0,50.645102687797085,-3.2898471004309346
2.4,0.01,16.666666666666668,55.78022263792765,-4.203881372810777
2.4,0.01,17.333333333333332,61.09103535138395,-5.241972803855732
2.4,0.01,18.0,66.30188012148959,-6.352221607418271
2.4,0.1,16.0,27.92776827966145,-0.3044858302392113
2.4,0.1,16.666666666666668,31.40668918175766,-0.6497237025509419
2.4,0.1,17.333333333333332,35.180696460931195,-1.070025839964
2.4,0.1,18.0,39.063730847225,-1.55219785351635
2.4,0.2,16.0,23.991019206188586,0.03735912600929847
2.4,0.2,16.666666666666668,26.908890124055425,-0.21103995532625386
2.4,0.2,18.0,33.50030663764956,-0.877000834524897
2.4,0.5,16.0,20.959493468582664,0.26526882643393734
2.4,0.5,17.333333333333332,25.514344633303626,-0.08876897272571815
2.4,1.0,16.0,20.072284612508824,0.32615421845057513
2.4,1.0,16.666666666666668,21.584580149666163,0.22079072734756322
2.4,1.0,17.333333333333332,23.54363472059441,0.07292702050495203
2.4,1.0,18.0,25.792408273916912,-0.11262980762390451
2.5733333333333333,0.01,16.0,42.738408433640075,-2.0549463760914746
2.5733333333333333,0.01,16.666666666666668,47.55883698485394,-2.7829391245350776
2.5733333333333333,0.01,17.333333333333332,52.34134698033732,-3.5820169434224125
2.5733333333333333,0.01,18.0,57.308281056795934,-4.492899656028287
2.5733333333333333,0.1,16.0,22.95140992608741,0.11898025695010228
2.5733333333333333,0.1,16.666666666666668,25.97030942287942,-0.12803129712479655
2.5733333333333333,0.1,17.333333333333332,29.278183350015563,-0.433689661424695
2.5733333333333333,0.1,18.0,32.770308777517364,-0.79608947624188
2.5733333333333333,0.2,16.0,19.897131177372334,0.3378630446836639
2.5733333333333333,0.2,17.333333333333332,24.92332960792049,-0.03891262328268774
2.5733333333333333,0.5,16.0,18.467989557381475,0.42956502987745193
2.5733333333333333,0.5,16.666666666666668,19.77100465594936,0.3462309182740596
2.5733333333333333,0.5,17.333333333333332,21.52527919064813,0.22506640763817376
2.5733333333333333,0.5,18.0,23.695624589766688,0.060918634994717724
2.5733333333333333,1.0,16.0,18.712238881783303,0.41437661938794856
2.5733333333333333,1.0,16.666666666666668,19.325658125527774,0.37535180954137404
2.5733333333333333,1.0,17.333333333333332,20.449521631412452,0.3005877936319732
2.5733333333333333,1.0,18.0,22.065142136437345,0.18570764034027443
2.7466666666666666,0.01,16.0,35.71616276857763,-1.1335188690827294
2.7466666666666666,0.01,16.666666666666668,40.31983886857142,-1.7189703824638314
2.7466666666666666,0.01,17.333333333333332,44.822945078915744,-2.3602197324621623
